x,y,location,bluetooch1,bluetooch2,bluetooch3,bluetooch4
0,1,0x1y,-50.635,-85.3106,-89.4031,-93.6228
0,1,0x1y,-49.9026,-85.8733,-84.7605,-89.7805
0,1,0x1y,-47.6885,-87.5628,-81.3501,-96.6787
0,1,0x1y,-44.8442,-78.2301,-80.6111,-88.5808
0,1,0x1y,-45.7209,-15.8964,-49.9866,-92.1209
0,2,0x2y,-56.4083,-80.1966,-88.8678,-95.1835
0,2,0x2y,-61.6676,-53.298,-82.6464,-89.5502
0,2,0x2y,-59.9137,-82.994,-19.1505,-81.1261
0,2,0x2y,-57.2705,-84.715,-80.5743,-49.9705
0,2,0x2y,-57.4978,-77.8709,-92.0352,-85.117
0,3,0x3y,-62.8254,-14.6554,-90.7661,-90.9299
0,3,0x3y,-61.1808,-77.3464,-82.8641,-89.5836
0,3,0x3y,-67.8186,-83.7767,-85.6048,-84.2634
0,3,0x3y,-14.4801,-16.0236,-82.7672,-90.0018
0,3,0x3y,-65.4588,-78.7297,-15.2705,-54.9078
0,4,0x4y,-72.7867,-14.1154,-88.2545,-83.3394
0,4,0x4y,-65.1708,-72.1373,-84.2344,-82.4325
0,4,0x4y,-40.3591,-72.703,-86.8182,-55.9667
0,4,0x4y,-68.6507,-76.6868,-52.2786,-52.0817
0,4,0x4y,-69.415,-79.2211,-89.2456,-86.4506
0,5,0x5y,-72.1894,-75.3848,-87.0854,-94.2689
0,5,0x5y,-71.8828,-76.3931,-93.9878,-16.8664
0,5,0x5y,-74.3183,-70.3566,-80.9491,-85.4083
0,5,0x5y,-75.6143,-13.2033,-16.6229,-91.1278
0,5,0x5y,-72.9725,-70.3131,-86.3755,-54.9745
0,6,0x6y,-77.5606,-67.2218,-91.3438,-54.1694
0,6,0x6y,-74.8549,-68.4528,-48.6378,-91.4577
0,6,0x6y,-74.015,-70.028,-93.151,-80.2462
0,6,0x6y,-70.0364,-71.9253,-89.7643,-80.4047
0,6,0x6y,-75.2821,-42.473,-92.8705,-17.5964
0,7,0x7y,-76.5742,-64.4388,-84.6665,-83.7171
0,7,0x7y,-83.9087,-65.1226,-91.2561,-18.455
0,7,0x7y,-74.7591,-67.0413,-18.14,-84.9742
0,7,0x7y,-15.9593,-38.3025,-90.052,-83.4604
0,7,0x7y,-74.4085,-65.0364,-88.9595,-87.9339
0,8,0x8y,-83.6172,-57.2839,-92.1043,-90.9485
0,8,0x8y,-18.1875,-56.6446,-85.1872,-86.6235
0,8,0x8y,-15.9283,-57.48,-93.1315,-82.9626
0,8,0x8y,-78.1344,-57.4954,-94.8567,-83.1422
0,8,0x8y,-80.803,-61.5593,-51.816,-89.3491
0,9,0x9y,-51.5255,-9.8006,-90.3496,-82.9977
0,9,0x9y,-79.9661,-46.1914,-87.197,-80.9228
0,9,0x9y,-50.6579,-28.3018,-84.7819,-51.3031
0,9,0x9y,-87.2347,-47.9825,-92.5317,-83.5148
0,9,0x9y,-46.5344,-45.9886,-83.9329,-86.6275
1,0,1x0y,-48.0159,-80.8564,-77.5388,-18.3712
1,0,1x0y,-48.519,-78.3159,-87.6047,-86.5721
1,0,1x0y,-44.6053,-19.3572,-16.5518,-88.8214
1,0,1x0y,-44.7169,-89.6252,-81.4793,-84.1639
1,0,1x0y,-47.7642,-80.1709,-76.3286,-93.1637
1,1,1x1y,-54.3834,-82.0137,-81.1379,-89.4207
1,1,1x1y,-53.8869,-18.3118,-47.6174,-89.6075
1,1,1x1y,-52.985,-48.3654,-51.7151,-89.441
1,1,1x1y,-53.9028,-77.6547,-81.3401,-82.0601
1,1,1x1y,-52.5918,-85.2808,-49.6662,-87.3447
1,2,1x2y,-58.3286,-82.0083,-82.4736,-83.3528
1,2,1x2y,-12.3939,-77.3017,-17.5324,-91.5587
1,2,1x2y,-61.09,-78.6163,-83.2809,-86.8647
1,2,1x2y,-60.4268,-46.1365,-48.0325,-86.2368
1,2,1x2y,-58.4252,-74.0513,-81.0412,-88.8448
1,3,1x3y,-65.7438,-77.8679,-83.9224,-52.0828
1,3,1x3y,-71.0472,-74.5854,-51.4523,-90.3463
1,3,1x3y,-63.1669,-82.0281,-81.9084,-51.7858
1,3,1x3y,-65.8305,-42.8606,-78.2332,-90.2491
1,3,1x3y,-39.0379,-78.7623,-90.2355,-85.1936
1,4,1x4y,-71.096,-72.6506,-83.2698,-87.8062
1,4,1x4y,-71.6059,-78.8506,-89.8298,-81.2918
1,4,1x4y,-14.8038,-72.2763,-55.5032,-84.6422
1,4,1x4y,-75.0879,-77.3642,-88.4267,-82.6925
1,4,1x4y,-66.7454,-77.6238,-84.3676,-53.0082
1,5,1x5y,-43.6231,-73.261,-81.9666,-78.83
1,5,1x5y,-69.6579,-76.906,-80.0574,-80.2459
1,5,1x5y,-75.9327,-72.5681,-80.0704,-48.6817
1,5,1x5y,-45.2522,-79.0036,-90.4933,-83.8181
1,5,1x5y,-72.6208,-71.7206,-83.2531,-89.7022
1,6,1x6y,-80.4647,-40.3047,-90.9725,-76.0978
1,6,1x6y,-76.2739,-67.3945,-88.7884,-88.7998
1,6,1x6y,-73.7582,-70.2793,-82.7779,-51.67
1,6,1x6y,-78.7053,-71.2362,-81.7015,-80.355
1,6,1x6y,-73.4635,-71.8077,-90.6166,-83.9902
1,7,1x7y,-74.0139,-68.9888,-91.2357,-81.5407
1,7,1x7y,-47.8999,-65.2834,-89.9404,-82.2661
1,7,1x7y,-74.9192,-65.6313,-50.2265,-88.2035
1,7,1x7y,-73.1012,-65.3658,-82.0159,-86.6721
1,7,1x7y,-79.102,-64.4176,-87.2824,-88.7265
1,8,1x8y,-81.0471,-64.989,-85.8198,-79.8854
1,8,1x8y,-85.5833,-60.2838,-94.0063,-85.567
1,8,1x8y,-77.2197,-58.5703,-86.1724,-78.4778
1,8,1x8y,-78.9562,-60.6361,-92.8561,-84.2182
1,8,1x8y,-17.2256,-60.2469,-93.0068,-18.1556
1,9,1x9y,-84.4571,-10.1906,-85.9229,-80.8604
1,9,1x9y,-83.2044,-55.7625,-94.652,-79.8723
1,9,1x9y,-87.0839,-11.939,-87.7156,-82.4545
1,9,1x9y,-79.8123,-53.8018,-81.6192,-85.8506
1,9,1x9y,-83.9941,-53.7759,-18.6091,-17.5013
2,0,2x0y,-57.7559,-88.45,-16.6587,-83.3797
2,0,2x0y,-55.8303,-88.7688,-83.5782,-89.1509
2,0,2x0y,-61.3492,-16.1914,-78.954,-16.3645
2,0,2x0y,-58.0391,-54.9707,-75.4126,-90.8351
2,0,2x0y,-33.8361,-87.7565,-82.8344,-83.4649
2,1,2x1y,-58.6409,-89.1401,-86.1263,-18.7513
2,1,2x1y,-60.747,-85.9673,-76.3215,-16.8841
2,1,2x1y,-63.6512,-83.9639,-82.3745,-88.8498
2,1,2x1y,-60.7373,-78.8917,-77.0747,-86.0081
2,1,2x1y,-60.2962,-85.6363,-85.5894,-90.1014
2,2,2x2y,-61.8702,-82.3411,-80.3252,-53.3045
2,2,2x2y,-65.6084,-76.3155,-82.2616,-89.6382
2,2,2x2y,-66.5285,-79.4028,-86.8832,-50.1567
2,2,2x2y,-62.609,-16.6695,-80.3789,-90.2269
2,2,2x2y,-62.7484,-86.9955,-82.355,-88.7504
2,3,2x3y,-13.0496,-73.6416,-49.1354,-85.7137
2,3,2x3y,-68.3576,-73.9688,-79.7118,-84.9295
2,3,2x3y,-40.023,-84.5298,-80.3699,-87.2308
2,3,2x3y,-69.5392,-49.6253,-18.3692,-83.1537
2,3,2x3y,-69.5666,-80.2691,-78.3251,-55.0935
2,4,2x4y,-74.7514,-78.0042,-47.5427,-87.6082
2,4,2x4y,-73.5811,-73.2062,-80.979,-18.7952
2,4,2x4y,-71.5214,-76.4827,-51.8323,-90.6039
2,4,2x4y,-73.2334,-77.8208,-52.8111,-82.4341
2,4,2x4y,-73.0021,-15.4187,-53.0349,-88.1998
2,5,2x5y,-77.5404,-77.9859,-84.0204,-83.3565
2,5,2x5y,-76.361,-80.0573,-47.5216,-80.4813
2,5,2x5y,-15.2207,-72.6621,-17.0621,-78.6926
2,5,2x5y,-76.4333,-72.7684,-89.228,-49.6562
2,5,2x5y,-74.6265,-78.0581,-83.3155,-80.491
2,6,2x6y,-79.1796,-67.9573,-79.8385,-17.1198
2,6,2x6y,-79.2157,-71.2988,-84.6964,-85.1567
2,6,2x6y,-71.3887,-68.4713,-88.4867,-82.8987
2,6,2x6y,-76.0191,-69.812,-87.9691,-82.1763
2,6,2x6y,-78.3869,-73.1712,-17.7896,-79.4473
2,7,2x7y,-76.7236,-66.6145,-87.0582,-84.7093
2,7,2x7y,-82.8611,-62.3022,-18.2522,-48.8242
2,7,2x7y,-79.0632,-66.903,-86.9295,-78.0526
2,7,2x7y,-82.6429,-67.3335,-85.7978,-79.703
2,7,2x7y,-81.1055,-65.7468,-89.2024,-82.0181
2,8,2x8y,-77.5446,-38.3686,-88.3145,-78.5367
2,8,2x8y,-15.1322,-39.9478,-80.9246,-48.4628
2,8,2x8y,-84.1112,-66.8606,-86.7233,-46.7002
2,8,2x8y,-82.2013,-62.0597,-81.3393,-79.3987
2,8,2x8y,-79.7279,-69.0745,-89.3095,-79.7059
2,9,2x9y,-84.59,-63.0115,-17.0768,-80.21
2,9,2x9y,-82.4335,-58.726,-81.7485,-16.2914
2,9,2x9y,-79.2427,-36.8513,-82.9852,-13.7622
2,9,2x9y,-88.2305,-60.8437,-83.8147,-78.6861
2,9,2x9y,-47.2578,-59.9264,-85.6251,-84.9583
3,0,3x0y,-63.4141,-81.2314,-77.0231,-80.5574
3,0,3x0y,-12.1708,-88.0144,-77.6483,-91.4745
3,0,3x0y,-61.817,-85.244,-81.4702,-91.4869
3,0,3x0y,-62.7489,-85.5212,-46.7882,-91.1533
3,0,3x0y,-64.7485,-48.722,-75.099,-85.3691
3,1,3x1y,-65.1464,-15.3494,-77.4497,-55.6217
3,1,3x1y,-39.8774,-18.0245,-82.3206,-87.1622
3,1,3x1y,-64.0751,-82.1015,-80.6101,-83.6424
3,1,3x1y,-66.7977,-84.1611,-82.3991,-93.3538
3,1,3x1y,-64.132,-17.5756,-78.7603,-83.7843
3,2,3x2y,-70.689,-77.2214,-76.087,-85.2879
3,2,3x2y,-67.1341,-84.5799,-74.4113,-90.3877
3,2,3x2y,-67.9817,-83.8297,-83.8547,-84.1249
3,2,3x2y,-69.573,-83.4512,-13.7218,-82.4242
3,2,3x2y,-68.1871,-77.9268,-78.5866,-81.5917
3,3,3x3y,-71.7957,-83.1664,-86.5505,-84.9614
3,3,3x3y,-70.8016,-83.8198,-73.7249,-84.9516
3,3,3x3y,-43.65,-81.486,-81.8074,-89.0984
3,3,3x3y,-74.6743,-77.1152,-77.7356,-82.6082
3,3,3x3y,-68.8853,-76.1765,-81.2269,-17.5933
3,4,3x4y,-77.8271,-79.6005,-46.8524,-77.926
3,4,3x4y,-76.1062,-78.1285,-80.5107,-79.6111
3,4,3x4y,-75.8253,-77.351,-84.5947,-81.659
3,4,3x4y,-75.7494,-78.995,-46.574,-45.594
3,4,3x4y,-75.8664,-72.4542,-82.3657,-81.2263
3,5,3x5y,-46.3416,-74.366,-80.1591,-15.5934
3,5,3x5y,-74.0096,-45.3157,-15.3296,-75.9974
3,5,3x5y,-78.5583,-69.8789,-77.661,-86.5402
3,5,3x5y,-73.5035,-73.203,-82.5083,-86.851
3,5,3x5y,-72.2859,-78.5376,-80.5188,-84.9301
3,6,3x6y,-78.362,-71.0944,-86.3618,-85.2654
3,6,3x6y,-76.3112,-70.5082,-16.3472,-82.3593
3,6,3x6y,-81.2279,-71.8336,-91.5209,-79.4913
3,6,3x6y,-77.2633,-44.9872,-82.1363,-76.746
3,6,3x6y,-78.8704,-14.4908,-85.8661,-49.0726
3,7,3x7y,-82.9834,-16.4387,-87.5392,-16.251
3,7,3x7y,-81.4976,-64.9642,-87.032,-78.3634
3,7,3x7y,-77.3875,-68.5084,-84.6114,-74.5117
3,7,3x7y,-77.0012,-72.3931,-83.5619,-75.4688
3,7,3x7y,-76.7332,-69.4573,-83.7326,-81.1822
3,8,3x8y,-84.2883,-67.4015,-54.0955,-82.5223
3,8,3x8y,-88.5702,-41.631,-86.186,-83.8265
3,8,3x8y,-82.7155,-66.6902,-87.9787,-79.3062
3,8,3x8y,-81.8223,-68.2943,-17.0532,-81.3607
3,8,3x8y,-85.2718,-41.3577,-89.5685,-81.739
3,9,3x9y,-81.1136,-65.8849,-90.1677,-85.038
3,9,3x9y,-13.9414,-68.9033,-52.9635,-75.3317
3,9,3x9y,-83.8803,-67.2695,-85.4275,-16.6605
3,9,3x9y,-83.1726,-65.7758,-18.1227,-83.7315
3,9,3x9y,-79.9626,-64.709,-87.6549,-78.2118
4,0,4x0y,-72.404,-86.1724,-76.2517,-85.8724
4,0,4x0y,-70.4971,-54.0643,-72.8163,-85.2906
4,0,4x0y,-13.6326,-84.9318,-70.4474,-48.2802
4,0,4x0y,-68.2394,-90.8462,-72.3806,-18.1355
4,0,4x0y,-68.1223,-16.1783,-80.566,-85.9038
4,1,4x1y,-68.7163,-90.5554,-75.0737,-85.7109
4,1,4x1y,-67.1632,-80.187,-72.5266,-89.2704
4,1,4x1y,-70.3071,-16.0361,-71.6979,-85.9984
4,1,4x1y,-70.1158,-86.7726,-47.1154,-87.9367
4,1,4x1y,-66.8691,-81.845,-76.3177,-19.9992
4,2,4x2y,-71.2742,-51.0666,-79.7909,-91.4958
4,2,4x2y,-70.3039,-90.603,-77.3117,-17.2261
4,2,4x2y,-71.9995,-83.1555,-76.7261,-89.2123
4,2,4x2y,-73.7691,-79.0284,-75.1704,-79.3385
4,2,4x2y,-76.2253,-79.8344,-73.1413,-80.7685
4,3,4x3y,-45.2592,-83.3411,-79.5775,-80.8734
4,3,4x3y,-74.4792,-81.7286,-76.0257,-77.5922
4,3,4x3y,-74.0955,-79.5076,-83.127,-84.2779
4,3,4x3y,-71.5272,-76.0023,-15.1159,-85.4257
4,3,4x3y,-71.6311,-79.0351,-78.6029,-84.5503
4,4,4x4y,-15.538,-16.2233,-75.1404,-87.0919
4,4,4x4y,-74.1285,-77.019,-77.1522,-83.3483
4,4,4x4y,-73.4499,-74.681,-82.8585,-81.1324
4,4,4x4y,-77.2306,-17.2708,-80.8076,-81.6749
4,4,4x4y,-72.2518,-79.0378,-78.0375,-82.1581
4,5,4x5y,-78.4403,-49.6931,-83.2585,-80.0154
4,5,4x5y,-16.2068,-80.1927,-76.4504,-50.9468
4,5,4x5y,-74.5289,-81.4517,-15.747,-78.5228
4,5,4x5y,-83.1273,-76.3823,-77.6281,-82.6102
4,5,4x5y,-71.5263,-77.0669,-80.8831,-82.4133
4,6,4x6y,-15.5283,-44.7739,-14.3276,-78.6867
4,6,4x6y,-78.9418,-71.4202,-49.8678,-80.1779
4,6,4x6y,-77.5049,-74.4305,-47.152,-80.1723
4,6,4x6y,-79.3895,-74.7358,-83.0873,-76.5717
4,6,4x6y,-15.1872,-69.7908,-80.693,-79.2321
4,7,4x7y,-77.437,-72.6215,-16.762,-75.9503
4,7,4x7y,-77.3957,-76.4972,-88.129,-76.7274
4,7,4x7y,-81.7093,-74.3514,-54.3646,-75.7724
4,7,4x7y,-84.1383,-76.4087,-85.8841,-73.5863
4,7,4x7y,-80.5757,-71.7902,-88.1472,-81.1003
4,8,4x8y,-89.0082,-69.8147,-90.1007,-74.7829
4,8,4x8y,-82.1224,-68.7747,-79.6968,-45.0948
4,8,4x8y,-83.3001,-71.954,-89.3327,-80.8526
4,8,4x8y,-48.1767,-73.6755,-85.1989,-77.4588
4,8,4x8y,-87.3099,-40.0695,-83.2502,-77.3937
4,9,4x9y,-82.3767,-70.3478,-84.316,-15.6618
4,9,4x9y,-18.434,-70.5952,-88.6386,-74.1112
4,9,4x9y,-80.3208,-72.9709,-87.7692,-14.9616
4,9,4x9y,-81.5897,-70.2917,-88.2334,-44.7592
4,9,4x9y,-91.5864,-71.3495,-84.6832,-78.6089
5,0,5x0y,-43.0587,-83.2786,-71.7266,-84.3007
